G,Date,Age,Opp,W/L,At,Name,Tm,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc_y,BPM
1,2022-10-19,27-242,UTA,L (-21),@,Nikola Jokić  ,DEN,1.0,33.416666666666664,12.0,17.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,6.0,3.0,0.0,3.0,4.0,27.0,-5.0,0.755,0.735,6.8,8.0,7.4,37.9,4.3,0.0,14.4,26.8,136.0,119.0,24.5,13.3
2,2022-10-21,27-244,GSW,W (+5),@,Nikola Jokić  ,DEN,1.0,34.4,7.0,13.0,1.0,2.0,11.0,11.0,3.0,9.0,12.0,10.0,0.0,0.0,5.0,4.0,26.0,-3.0,0.729,0.577,10.5,34.9,22.0,38.5,0.0,0.0,21.9,27.2,138.0,119.0,24.9,6.5
3,2022-10-22,27-245,OKC,W (+5),,Nikola Jokić  ,DEN,1.0,38.68333333333333,6.0,10.0,1.0,1.0,6.0,9.0,1.0,15.0,16.0,13.0,1.0,1.0,3.0,2.0,19.0,18.0,0.681,0.65,2.7,39.6,21.3,46.7,1.2,2.2,17.7,18.0,142.0,105.0,25.4,10.5
4,2022-10-24,27-247,POR,L (-25),@,Nikola Jokić  ,DEN,1.0,26.966666666666665,3.0,4.0,0.0,0.0,3.0,3.0,1.0,8.0,9.0,9.0,0.0,0.0,1.0,5.0,9.0,-10.0,0.846,0.75,3.9,38.5,19.3,40.4,0.0,0.0,15.8,10.7,172.0,141.0,13.8,5.6
5,2022-10-26,27-249,LAL,W (+11),,Nikola Jokić  ,DEN,1.0,34.8,12.0,17.0,0.0,4.0,7.0,7.0,1.0,12.0,13.0,9.0,4.0,0.0,3.0,3.0,31.0,28.0,0.772,0.706,2.8,31.8,17.8,48.8,5.4,0.0,13.0,28.4,141.0,89.0,34.3,19.0
6,2022-10-28,27-251,UTA,W (+16),,Nikola Jokić  ,DEN,1.0,25.466666666666665,3.0,10.0,0.0,4.0,6.0,8.0,3.0,7.0,10.0,6.0,1.0,1.0,1.0,1.0,12.0,8.0,0.444,0.3,12.0,26.9,19.6,33.9,2.0,3.6,6.9,24.4,125.0,98.0,14.1,7.6
7,2022-10-30,27-253,LAL,L (-11),@,Nikola Jokić  ,DEN,1.0,35.86666666666667,8.0,16.0,1.0,5.0,6.0,7.0,4.0,10.0,14.0,6.0,0.0,2.0,2.0,0.0,23.0,0.0,0.603,0.531,10.5,27.9,18.9,26.5,0.0,4.1,9.5,25.0,130.0,120.0,24.0,8.7
8,2022-11-03,27-257,OKC,W (+12),@,Nikola Jokić  ,DEN,1.0,35.63333333333333,6.0,9.0,0.0,0.0,3.0,3.0,0.0,13.0,13.0,14.0,1.0,0.0,10.0,3.0,15.0,15.0,0.727,0.667,0.0,35.7,20.1,51.1,1.3,0.0,49.2,25.1,102.0,105.0,14.6,1.3
9,2022-11-05,27-259,SAS,W (+25),,Nikola Jokić  ,DEN,1.0,26.566666666666666,9.0,10.0,1.0,1.0,2.0,2.0,0.0,6.0,6.0,10.0,2.0,0.0,4.0,2.0,21.0,20.0,0.965,0.95,0.0,25.2,14.5,49.2,3.8,0.0,26.9,25.0,150.0,100.0,23.6,18.1
10,2022-11-07,27-261,SAS,W (+6),@,Nikola Jokić  ,DEN,1.0,33.95,11.0,20.0,0.0,1.0,4.0,5.0,1.0,7.0,8.0,10.0,2.0,3.0,4.0,2.0,26.0,15.0,0.586,0.55,3.9,23.6,14.5,45.0,2.7,8.7,15.3,31.7,115.0,99.0,25.1,9.7
11,2022-11-09,27-263,IND,W (+3),@,Nikola Jokić  ,DEN,1.0,20.7,10.0,20.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,6.0,2.0,1.0,1.0,5.0,24.0,11.0,0.563,0.525,5.3,14.8,10.2,70.2,4.3,4.3,4.5,43.3,123.0,104.0,19.5,12.9
12,2022-11-11,27-265,BOS,L (-19),@,Nikola Jokić  ,DEN,1.0,29.733333333333334,12.0,20.0,2.0,4.0,3.0,4.0,3.0,5.0,8.0,3.0,0.0,0.0,2.0,4.0,29.0,-14.0,0.666,0.65,10.3,21.8,15.4,21.4,0.0,0.0,8.4,36.3,127.0,141.0,21.5,7.6
13,2022-11-13,27-267,CHI,W (+23),@,Nikola Jokić  ,DEN,1.0,27.6,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,14.0,3.0,0.0,2.0,0.0,8.0,29.0,1.0,1.0,0.0,26.8,14.5,59.3,5.3,0.0,33.3,9.9,172.0,97.0,19.4,20.6
14,2022-11-22,27-276,DET,L (-2),,Nikola Jokić  ,DEN,1.0,36.733333333333334,12.0,16.0,0.0,0.0,7.0,11.0,2.0,7.0,9.0,10.0,1.0,1.0,5.0,3.0,31.0,13.0,0.744,0.75,6.1,23.5,14.3,47.8,1.4,2.2,19.3,29.5,130.0,113.0,29.0,13.7
15,2022-11-23,27-277,OKC,W (+5),@,Nikola Jokić  ,DEN,1.0,43.15,11.0,15.0,1.0,3.0,16.0,18.0,3.0,7.0,10.0,9.0,0.0,0.0,4.0,5.0,39.0,11.0,0.851,0.767,8.4,17.2,13.1,38.8,0.0,0.0,14.9,26.9,160.0,126.0,36.6,12.5
16,2022-11-25,27-279,LAC,W (+10),@,Nikola Jokić  ,DEN,1.0,32.4,7.0,13.0,0.0,1.0,5.0,7.0,2.0,11.0,13.0,6.0,2.0,1.0,2.0,3.0,19.0,19.0,0.591,0.538,7.6,52.6,27.5,26.4,3.2,3.2,11.1,25.5,124.0,107.0,20.3,7.5
1,2022-10-19,27-242,UTA,L (-21),@,Nikola Jokić  ,DEN,1.0,33.416666666666664,12.0,17.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,6.0,3.0,0.0,3.0,4.0,27.0,-5.0,0.755,0.735,6.8,8.0,7.4,37.9,4.3,0.0,14.4,26.8,136.0,119.0,24.5,13.3
2,2022-10-21,27-244,GSW,W (+5),@,Nikola Jokić  ,DEN,1.0,34.4,7.0,13.0,1.0,2.0,11.0,11.0,3.0,9.0,12.0,10.0,0.0,0.0,5.0,4.0,26.0,-3.0,0.729,0.577,10.5,34.9,22.0,38.5,0.0,0.0,21.9,27.2,138.0,119.0,24.9,6.5
3,2022-10-22,27-245,OKC,W (+5),,Nikola Jokić  ,DEN,1.0,38.68333333333333,6.0,10.0,1.0,1.0,6.0,9.0,1.0,15.0,16.0,13.0,1.0,1.0,3.0,2.0,19.0,18.0,0.681,0.65,2.7,39.6,21.3,46.7,1.2,2.2,17.7,18.0,142.0,105.0,25.4,10.5
4,2022-10-24,27-247,POR,L (-25),@,Nikola Jokić  ,DEN,1.0,26.966666666666665,3.0,4.0,0.0,0.0,3.0,3.0,1.0,8.0,9.0,9.0,0.0,0.0,1.0,5.0,9.0,-10.0,0.846,0.75,3.9,38.5,19.3,40.4,0.0,0.0,15.8,10.7,172.0,141.0,13.8,5.6
5,2022-10-26,27-249,LAL,W (+11),,Nikola Jokić  ,DEN,1.0,34.8,12.0,17.0,0.0,4.0,7.0,7.0,1.0,12.0,13.0,9.0,4.0,0.0,3.0,3.0,31.0,28.0,0.772,0.706,2.8,31.8,17.8,48.8,5.4,0.0,13.0,28.4,141.0,89.0,34.3,19.0
6,2022-10-28,27-251,UTA,W (+16),,Nikola Jokić  ,DEN,1.0,25.466666666666665,3.0,10.0,0.0,4.0,6.0,8.0,3.0,7.0,10.0,6.0,1.0,1.0,1.0,1.0,12.0,8.0,0.444,0.3,12.0,26.9,19.6,33.9,2.0,3.6,6.9,24.4,125.0,98.0,14.1,7.6
7,2022-10-30,27-253,LAL,L (-11),@,Nikola Jokić  ,DEN,1.0,35.86666666666667,8.0,16.0,1.0,5.0,6.0,7.0,4.0,10.0,14.0,6.0,0.0,2.0,2.0,0.0,23.0,0.0,0.603,0.531,10.5,27.9,18.9,26.5,0.0,4.1,9.5,25.0,130.0,120.0,24.0,8.7
8,2022-11-03,27-257,OKC,W (+12),@,Nikola Jokić  ,DEN,1.0,35.63333333333333,6.0,9.0,0.0,0.0,3.0,3.0,0.0,13.0,13.0,14.0,1.0,0.0,10.0,3.0,15.0,15.0,0.727,0.667,0.0,35.7,20.1,51.1,1.3,0.0,49.2,25.1,102.0,105.0,14.6,1.3
9,2022-11-05,27-259,SAS,W (+25),,Nikola Jokić  ,DEN,1.0,26.566666666666666,9.0,10.0,1.0,1.0,2.0,2.0,0.0,6.0,6.0,10.0,2.0,0.0,4.0,2.0,21.0,20.0,0.965,0.95,0.0,25.2,14.5,49.2,3.8,0.0,26.9,25.0,150.0,100.0,23.6,18.1
10,2022-11-07,27-261,SAS,W (+6),@,Nikola Jokić  ,DEN,1.0,33.95,11.0,20.0,0.0,1.0,4.0,5.0,1.0,7.0,8.0,10.0,2.0,3.0,4.0,2.0,26.0,15.0,0.586,0.55,3.9,23.6,14.5,45.0,2.7,8.7,15.3,31.7,115.0,99.0,25.1,9.7
11,2022-11-09,27-263,IND,W (+3),@,Nikola Jokić  ,DEN,1.0,20.7,10.0,20.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,6.0,2.0,1.0,1.0,5.0,24.0,11.0,0.563,0.525,5.3,14.8,10.2,70.2,4.3,4.3,4.5,43.3,123.0,104.0,19.5,12.9
12,2022-11-11,27-265,BOS,L (-19),@,Nikola Jokić  ,DEN,1.0,29.733333333333334,12.0,20.0,2.0,4.0,3.0,4.0,3.0,5.0,8.0,3.0,0.0,0.0,2.0,4.0,29.0,-14.0,0.666,0.65,10.3,21.8,15.4,21.4,0.0,0.0,8.4,36.3,127.0,141.0,21.5,7.6
13,2022-11-13,27-267,CHI,W (+23),@,Nikola Jokić  ,DEN,1.0,27.6,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,14.0,3.0,0.0,2.0,0.0,8.0,29.0,1.0,1.0,0.0,26.8,14.5,59.3,5.3,0.0,33.3,9.9,172.0,97.0,19.4,20.6
14,2022-11-22,27-276,DET,L (-2),,Nikola Jokić  ,DEN,1.0,36.733333333333334,12.0,16.0,0.0,0.0,7.0,11.0,2.0,7.0,9.0,10.0,1.0,1.0,5.0,3.0,31.0,13.0,0.744,0.75,6.1,23.5,14.3,47.8,1.4,2.2,19.3,29.5,130.0,113.0,29.0,13.7
15,2022-11-23,27-277,OKC,W (+5),@,Nikola Jokić  ,DEN,1.0,43.15,11.0,15.0,1.0,3.0,16.0,18.0,3.0,7.0,10.0,9.0,0.0,0.0,4.0,5.0,39.0,11.0,0.851,0.767,8.4,17.2,13.1,38.8,0.0,0.0,14.9,26.9,160.0,126.0,36.6,12.5
16,2022-11-25,27-279,LAC,W (+10),@,Nikola Jokić  ,DEN,1.0,32.4,7.0,13.0,0.0,1.0,5.0,7.0,2.0,11.0,13.0,6.0,2.0,1.0,2.0,3.0,19.0,19.0,0.591,0.538,7.6,52.6,27.5,26.4,3.2,3.2,11.1,25.5,124.0,107.0,20.3,7.5
1,2022-10-19,24-013,BRK,W (+22),@,Herbert Jones  ,NOP,1.0,27.966666666666665,2.0,7.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0,3.0,6.0,34.0,0.403,0.357,10.1,3.5,6.9,11.1,0.0,3.1,0.0,10.2,133.0,110.0,5.9,-2.0
2,2022-10-21,24-015,CHO,W (+12),@,Herbert Jones  ,NOP,1.0,31.983333333333334,2.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,4.0,7.0,16.0,0.81,0.667,3.7,3.1,3.3,7.7,0.0,4.8,0.0,5.4,187.0,116.0,7.9,0.0
3,2022-10-23,24-017,UTA,L (-1),,Herbert Jones  ,NOP,1.0,35.45,3.0,9.0,0.0,3.0,3.0,5.0,1.0,3.0,4.0,1.0,0.0,1.0,3.0,6.0,9.0,-1.0,0.402,0.333,3.5,9.8,6.7,3.4,0.0,2.5,21.1,16.5,75.0,119.0,0.7,-11.8
4,2022-11-04,24-029,GSW,W (+9),,Herbert Jones  ,NOP,1.0,29.383333333333333,1.0,5.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,4.0,4.0,-6.0,0.34,0.2,0.0,5.3,2.5,8.3,5.0,0.0,25.4,11.8,70.0,102.0,2.0,-6.6
5,2022-11-05,24-030,ATL,L (-3),@,Herbert Jones  ,NOP,1.0,33.7,7.0,13.0,0.0,2.0,5.0,9.0,4.0,5.0,9.0,2.0,3.0,0.0,0.0,5.0,19.0,-6.0,0.56,0.538,11.0,15.1,13.0,8.7,4.2,0.0,0.0,19.6,132.0,105.0,17.8,6.8
6,2022-11-07,24-032,IND,L (-7),@,Herbert Jones  ,NOP,1.0,28.566666666666666,7.0,12.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,16.0,-6.0,0.643,0.625,0.0,8.4,3.8,9.3,1.7,4.4,13.9,21.2,112.0,129.0,11.3,-1.3
7,2022-11-09,24-034,CHI,W (+4),@,Herbert Jones  ,NOP,1.0,27.916666666666668,5.0,9.0,0.0,2.0,7.0,8.0,1.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,17.0,10.0,0.679,0.556,4.1,12.0,8.1,15.4,5.1,0.0,7.4,20.1,143.0,104.0,16.4,8.7
8,2022-11-10,24-035,POR,L (-11),,Herbert Jones  ,NOP,1.0,34.25,3.0,6.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,10.0,-16.0,0.644,0.5,3.2,6.0,4.6,9.7,0.0,0.0,11.4,11.5,128.0,120.0,7.9,-0.9
9,2022-11-12,24-037,HOU,W (+13),,Herbert Jones  ,NOP,1.0,19.45,3.0,7.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,15.0,0.429,0.429,5.5,14.5,9.4,7.1,0.0,0.0,0.0,15.5,103.0,113.0,3.1,-8.2
10,2022-11-15,24-040,MEM,W (+11),,Herbert Jones  ,NOP,1.0,22.55,4.0,7.0,2.0,3.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,4.0,10.0,3.0,0.672,0.714,4.8,8.5,6.8,12.3,0.0,3.7,0.0,14.9,138.0,107.0,8.1,3.5
11,2022-11-16,24-041,CHI,W (+14),,Herbert Jones  ,NOP,1.0,31.6,3.0,7.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,0.0,1.0,4.0,10.0,21.0,0.601,0.571,10.8,3.7,7.3,11.9,1.6,0.0,10.7,13.0,136.0,115.0,8.8,-0.9
12,2022-11-18,24-043,BOS,L (-8),,Herbert Jones  ,NOP,1.0,35.56666666666667,7.0,12.0,2.0,4.0,1.0,2.0,1.0,6.0,7.0,2.0,3.0,0.0,2.0,3.0,17.0,-9.0,0.66,0.667,3.2,19.7,11.4,8.0,4.2,0.0,13.4,19.4,116.0,118.0,14.7,2.1
13,2022-11-21,24-046,GSW,W (+45),,Herbert Jones  ,NOP,1.0,19.766666666666666,1.0,6.0,0.0,4.0,1.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,18.0,0.218,0.167,0.0,16.9,8.7,10.4,2.4,23.5,22.5,18.9,52.0,72.0,1.0,-8.8
14,2022-11-23,24-048,SAS,W (+19),@,Herbert Jones  ,NOP,1.0,18.833333333333332,3.0,7.0,1.0,4.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,9.0,15.0,0.571,0.5,0.0,12.1,6.5,6.5,0.0,5.0,0.0,17.3,124.0,105.0,6.1,-2.9
15,2022-11-25,24-050,MEM,L (-21),@,Herbert Jones  ,NOP,1.0,22.616666666666667,4.0,11.0,2.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,2.0,13.0,-21.0,0.509,0.455,9.6,14.8,12.2,22.3,2.1,4.0,7.3,25.9,112.0,129.0,10.8,1.7
1,2022-10-19,21-273,SAS,W (+27),@,Kai Jones  ,CHO,0.0,4.333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-7.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,300.0,109.0,2.7,14.4
2,2022-10-23,21-277,ATL,W (+17),@,Kai Jones  ,CHO,0.0,1.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,-7.1
3,2022-10-28,21-282,ORL,L (-20),@,Kai Jones  ,CHO,0.0,5.516666666666667,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,9.0,0.725,1.0,0.0,0.0,0.0,71.6,0.0,18.1,0.0,21.7,163.0,103.0,5.0,28.2
4,2022-11-02,21-287,CHI,L (-18),@,Kai Jones  ,CHO,0.0,5.583333333333333,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,15.1,0.0,22.4,71.0,109.0,1.0,-6.9
5,2022-11-04,21-289,MEM,L (-31),@,Kai Jones  ,CHO,0.0,7.383333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,13.8,6.4,0.0,6.3,31.5,0.0,5.5,0.0,100.0,1.9,0.1
6,2022-11-12,21-297,MIA,L (-17),@,Kai Jones  ,CHO,0.0,1.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,200.0,133.0,1.7,15.7
7,2022-11-14,21-299,ORL,W (+7),@,Kai Jones  ,CHO,0.0,1.9666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,0.0,0.0,0.0,117.0,0.7,8.9
8,2022-11-18,21-303,CLE,L (-10),@,Kai Jones  ,CHO,0.0,7.05,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.5,0.5,13.7,38.3,24.0,0.0,0.0,0.0,0.0,12.2,123.0,118.0,1.9,-5.2
9,2022-11-20,21-305,WAS,L (-4),@,Kai Jones  ,CHO,0.0,8.033333333333333,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,7.0,0.5,0.5,0.0,12.0,6.0,0.0,5.9,0.0,20.0,24.3,79.0,95.0,2.3,-1.3
10,2022-11-23,21-308,PHI,W (+6),,Kai Jones  ,CHO,0.0,7.9,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,10.0,1.0,1.0,12.7,0.0,6.8,0.0,0.0,0.0,33.3,15.7,120.0,106.0,2.3,-4.1
11,2022-11-25,21-310,MIN,W (+2),,Kai Jones  ,CHO,0.0,27.966666666666665,3.0,5.0,0.0,0.0,3.0,4.0,3.0,9.0,12.0,0.0,0.0,1.0,0.0,2.0,9.0,-1.0,0.666,0.6,10.5,30.3,20.6,0.0,0.0,3.1,0.0,9.7,152.0,100.0,11.0,0.6
1,2022-10-19,22-284,CHO,L (-27),,Tre Jones  ,SAS,1.0,24.366666666666667,5.0,8.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,3.0,14.0,-11.0,0.751,0.688,7.7,4.5,6.2,13.1,1.9,6.1,0.0,14.9,164.0,124.0,14.7,8.1
2,2022-10-21,22-286,IND,W (+3),@,Tre Jones  ,SAS,1.0,35.03333333333333,6.0,12.0,1.0,3.0,5.0,6.0,1.0,3.0,4.0,4.0,2.0,0.0,3.0,4.0,18.0,-10.0,0.615,0.542,3.9,9.3,6.9,15.3,2.5,0.0,17.0,20.6,114.0,123.0,13.4,-7.1
3,2022-10-22,22-287,PHI,W (+9),@,Tre Jones  ,SAS,1.0,30.433333333333334,6.0,12.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,4.0,1.0,0.0,4.0,1.0,17.0,-1.0,0.599,0.5,0.0,3.7,1.9,18.8,1.7,0.0,22.0,26.2,106.0,117.0,10.7,-5.4
4,2022-10-24,22-289,MIN,W (+9),@,Tre Jones  ,SAS,1.0,29.733333333333334,3.0,10.0,1.0,4.0,1.0,1.0,0.0,7.0,7.0,8.0,3.0,0.0,1.0,3.0,8.0,10.0,0.383,0.35,0.0,24.6,11.3,29.9,4.7,0.0,8.7,14.9,102.0,95.0,10.7,-0.6
5,2022-10-26,22-291,MIN,L (-12),@,Tre Jones  ,SAS,1.0,32.81666666666667,3.0,12.0,1.0,3.0,6.0,6.0,2.0,5.0,7.0,3.0,1.0,0.0,1.0,2.0,13.0,-11.0,0.444,0.292,6.6,27.1,14.4,11.4,1.4,0.0,6.4,19.0,112.0,131.0,10.0,-9.2
6,2022-10-28,22-293,CHI,W (+5),,Tre Jones  ,SAS,1.0,32.75,3.0,8.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,8.0,1.0,0.0,5.0,0.0,11.0,23.0,0.564,0.438,8.4,6.0,7.0,28.2,1.4,0.0,33.9,18.4,106.0,121.0,10.2,-5.9
7,2022-10-30,22-295,MIN,W (+9),,Tre Jones  ,SAS,1.0,31.5,2.0,12.0,1.0,2.0,5.0,7.0,1.0,1.0,2.0,8.0,0.0,0.0,2.0,3.0,10.0,6.0,0.332,0.208,3.5,2.8,3.1,37.0,0.0,0.0,11.7,22.4,96.0,108.0,5.0,-10.0
8,2022-11-02,22-298,TOR,L (-43),,Tre Jones  ,SAS,1.0,21.666666666666668,3.0,9.0,1.0,2.0,0.0,0.0,0.0,8.0,8.0,7.0,1.0,0.0,2.0,1.0,7.0,-23.0,0.389,0.389,0.0,42.2,18.5,51.1,2.0,0.0,18.2,19.8,91.0,124.0,7.8,-4.3
9,2022-11-04,22-300,LAC,L (-7),,Tre Jones  ,SAS,1.0,33.0,7.0,15.0,3.0,5.0,1.0,1.0,0.0,2.0,2.0,6.0,2.0,0.0,1.0,3.0,18.0,-4.0,0.583,0.567,0.0,9.1,3.7,27.4,2.9,0.0,6.1,22.0,119.0,110.0,14.9,3.2
10,2022-11-05,22-301,DEN,L (-25),@,Tre Jones  ,SAS,1.0,24.166666666666668,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,4.0,-17.0,0.286,0.286,0.0,0.0,0.0,39.7,2.1,0.0,12.5,15.4,90.0,134.0,4.4,-9.6
11,2022-11-07,22-303,DEN,L (-6),,Tre Jones  ,SAS,1.0,33.35,9.0,13.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,9.0,3.0,0.0,3.0,3.0,20.0,-6.0,0.744,0.731,3.4,8.0,5.5,43.1,4.1,0.0,18.2,20.8,135.0,109.0,20.9,6.2
12,2022-11-09,22-305,MEM,L (-2),,Tre Jones  ,SAS,1.0,37.03333333333333,4.0,13.0,1.0,4.0,2.0,2.0,0.0,4.0,4.0,11.0,1.0,0.0,2.0,2.0,11.0,-1.0,0.396,0.346,0.0,13.0,6.2,38.1,1.4,0.0,12.6,18.9,104.0,121.0,10.6,-4.6
13,2022-11-11,22-307,MIL,W (+18),,Tre Jones  ,SAS,1.0,29.7,4.0,7.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,9.0,1.0,1.0,1.0,2.0,9.0,8.0,0.643,0.643,0.0,13.0,8.2,39.8,1.7,2.9,12.5,11.7,146.0,94.0,13.4,6.5
14,2022-11-15,22-311,POR,L (-7),@,Tre Jones  ,SAS,1.0,22.9,1.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,10.0,3.0,0.0,0.0,1.0,2.0,14.0,0.167,0.167,0.0,11.6,5.4,50.0,6.5,0.0,0.0,11.3,110.0,112.0,8.4,3.4
15,2022-11-17,22-313,SAC,L (-18),@,Tre Jones  ,SAS,1.0,29.366666666666667,7.0,13.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,2.0,15.0,-18.0,0.577,0.577,0.0,5.3,2.4,18.9,3.3,0.0,18.8,24.4,99.0,132.0,10.0,-6.5
16,2022-11-19,22-315,LAC,L (-22),@,Tre Jones  ,SAS,1.0,25.95,3.0,13.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,10.0,1.0,0.0,1.0,2.0,6.0,-5.0,0.231,0.231,4.3,5.3,4.7,60.7,2.0,0.0,7.1,23.3,88.0,129.0,5.3,-7.3
17,2022-11-20,22-316,LAL,L (-31),@,Tre Jones  ,SAS,1.0,26.183333333333334,5.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,1.0,10.0,-16.0,0.417,0.417,0.0,10.2,3.7,23.0,0.0,0.0,20.0,23.0,74.0,123.0,3.6,-12.8
18,2022-11-23,22-319,NOP,L (-19),,Tre Jones  ,SAS,1.0,31.083333333333332,1.0,8.0,1.0,7.0,6.0,6.0,0.0,0.0,0.0,9.0,2.0,0.0,3.0,2.0,9.0,-13.0,0.423,0.188,0.0,0.0,0.0,35.2,2.9,0.0,22.0,18.3,97.0,122.0,8.3,-5.5
19,2022-11-25,22-321,LAL,L (-11),,Tre Jones  ,SAS,1.0,33.333333333333336,7.0,13.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,5.0,2.0,0.0,4.0,2.0,19.0,-9.0,0.663,0.615,2.4,3.6,2.9,25.8,2.9,0.0,21.8,21.4,113.0,107.0,14.4,3.3
20,2022-11-26,22-322,LAL,L (-5),,Tre Jones  ,SAS,1.0,35.81666666666667,9.0,13.0,0.0,1.0,5.0,7.0,3.0,5.0,8.0,13.0,2.0,0.0,1.0,2.0,23.0,12.0,0.715,0.692,7.6,20.3,12.5,42.6,2.5,0.0,5.9,18.5,165.0,132.0,29.6,7.9
1,2022-10-19,26-162,NYK,W (+3),,Tyus Jones  ,MEM,0.0,24.966666666666665,6.0,16.0,3.0,8.0,0.0,2.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,15.0,-4.0,0.444,0.469,3.8,10.3,7.2,21.8,2.0,0.0,5.6,28.9,101.0,106.0,9.1,1.4
2,2022-10-21,26-164,HOU,W (+7),@,Tyus Jones  ,MEM,0.0,21.883333333333333,4.0,13.0,3.0,7.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,-11.0,0.423,0.423,0.0,19.1,9.2,24.2,0.0,0.0,0.0,23.2,115.0,123.0,7.5,-5.8
3,2022-10-22,26-165,DAL,L (-41),@,Tyus Jones  ,MEM,0.0,24.083333333333332,3.0,8.0,2.0,6.0,2.0,3.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,10.0,-21.0,0.536,0.5,0.0,0.0,0.0,35.6,2.0,3.9,9.7,19.3,112.0,139.0,9.4,3.3
