G,Date,Age,Opp,W/L,At,Name,Tm,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc_y,BPM
19,2022-11-27,29-130,NYK,W (+4),@,Steven Adams  ,MEM,1.0,31.333333333333332,6.0,9.0,0.0,0.0,4.0,9.0,7.0,3.0,10.0,2.0,0.0,1.0,0.0,1.0,16.0,2.0,0.617,0.667,23.3,10.0,16.7,8.3,0.0,2.7,0.0,16.7,148.0,129.0,17.6,2.9
1,2022-10-19,25-093,CHI,L (-8),,Bam Adebayo  ,MIA,1.0,33.983333333333334,5.0,15.0,0.0,0.0,2.0,3.0,1.0,8.0,9.0,2.0,0.0,1.0,5.0,4.0,12.0,-15.0,0.368,0.333,3.4,22.6,13.8,9.4,0.0,2.5,23.5,27.1,65.0,111.0,1.7,-12.8
2,2022-10-21,25-095,BOS,L (-7),,Bam Adebayo  ,MIA,1.0,34.88333333333333,8.0,11.0,0.0,0.0,3.0,4.0,3.0,5.0,8.0,5.0,2.0,0.0,5.0,4.0,19.0,20.0,0.745,0.727,9.8,18.6,13.9,22.2,3.0,0.0,28.2,22.7,116.0,117.0,16.6,4.5
3,2022-10-22,25-096,TOR,W (+3),,Bam Adebayo  ,MIA,1.0,35.7,4.0,6.0,0.0,1.0,2.0,2.0,0.0,7.0,7.0,1.0,0.0,0.0,3.0,3.0,10.0,5.0,0.727,0.667,0.0,20.5,11.6,4.1,0.0,0.0,30.4,12.9,96.0,116.0,6.0,-5.1
4,2022-10-24,25-098,TOR,L (-8),,Bam Adebayo  ,MIA,1.0,37.68333333333333,4.0,14.0,0.0,0.0,6.0,6.0,4.0,6.0,10.0,3.0,1.0,2.0,3.0,1.0,14.0,5.0,0.421,0.286,10.2,15.9,13.0,16.0,1.3,4.7,15.3,23.4,88.0,100.0,11.5,-0.3
5,2022-10-26,25-100,POR,W (+21),@,Bam Adebayo  ,MIA,1.0,28.35,6.0,11.0,0.0,1.0,6.0,7.0,3.0,5.0,8.0,3.0,1.0,0.0,3.0,3.0,18.0,17.0,0.639,0.545,12.1,20.2,16.1,15.0,1.8,0.0,17.6,26.0,123.0,104.0,14.8,-0.9
6,2022-10-27,25-101,GSW,L (-13),@,Bam Adebayo  ,MIA,1.0,37.733333333333334,10.0,13.0,0.0,0.0,6.0,8.0,4.0,4.0,8.0,1.0,4.0,3.0,5.0,2.0,26.0,-12.0,0.787,0.769,12.1,13.0,12.6,4.8,5.2,8.3,23.2,25.0,122.0,119.0,25.1,5.1
7,2022-10-29,25-103,SAC,L (-6),@,Bam Adebayo  ,MIA,1.0,37.71666666666667,9.0,16.0,0.0,0.0,5.0,6.0,2.0,4.0,6.0,4.0,0.0,2.0,1.0,6.0,23.0,6.0,0.617,0.563,5.5,16.4,9.9,19.2,0.0,5.7,5.1,22.6,130.0,119.0,18.4,3.6
8,2022-11-01,25-106,GSW,W (+7),,Bam Adebayo  ,MIA,1.0,37.18333333333333,8.0,15.0,0.0,0.0,3.0,3.0,1.0,6.0,7.0,6.0,3.0,1.0,2.0,4.0,19.0,0.0,0.582,0.533,3.2,19.4,11.3,26.1,3.9,3.7,10.9,21.2,119.0,102.0,18.5,4.9
9,2022-11-02,25-107,SAC,W (+3),,Bam Adebayo  ,MIA,1.0,32.1,9.0,16.0,0.0,0.0,2.0,2.0,2.0,9.0,11.0,6.0,0.0,0.0,4.0,5.0,20.0,2.0,0.592,0.563,6.8,32.8,19.4,29.4,0.0,0.0,19.2,29.5,109.0,113.0,14.7,-0.9
