Name,Week,Tm,FPoints
DeMar DeRozan  ,2.0,CHI,90
DeMar DeRozan  ,3.0,CHI,57
Dean Wade  ,0.0,CLE,38
Dean Wade  ,1.0,CLE,57
Dean Wade  ,2.0,CLE,15
Dean Wade  ,3.0,CLE,14
Deandre Ayton  ,0.0,PHO,67
Deandre Ayton  ,1.0,PHO,33
Deandre Ayton  ,2.0,PHO,38
Deandre Ayton  ,3.0,PHO,43
Deandre Ayton  ,4.0,PHO,31
Dejounte Murray  ,0.0,ATL,90
Dejounte Murray  ,1.0,ATL,73
Dejounte Murray  ,2.0,ATL,112
Dejounte Murray  ,3.0,ATL,105
Dejounte Murray  ,4.0,ATL,23
Delon Wright  ,0.0,WAS,33
Delon Wright  ,1.0,WAS,14
Deni Avdija  ,0.0,WAS,25
Deni Avdija  ,1.0,WAS,29
Deni Avdija  ,2.0,WAS,23
Deni Avdija  ,3.0,WAS,59
Dennis Smith Jr.  ,0.0,CHO,58
Dennis Smith Jr.  ,1.0,CHO,52
Dennis Smith Jr.  ,2.0,CHO,60
Dennis Smith Jr.  ,3.0,CHO,44
Dereon Seabron  ,1.0,NOP,0
Derrick Rose  ,0.0,NYK,25
Derrick Rose  ,1.0,NYK,42
Derrick Rose  ,2.0,NYK,8
Derrick Rose  ,3.0,NYK,13
Derrick Rose  ,4.0,NYK,5
Derrick White  ,0.0,BOS,116
Derrick White  ,1.0,BOS,46
Derrick White  ,2.0,BOS,68
Derrick White  ,3.0,BOS,100
Derrick White  ,4.0,BOS,46
Desmond Bane  ,0.0,MEM,45
Desmond Bane  ,1.0,MEM,112
Desmond Bane  ,2.0,MEM,85
Desmond Bane  ,3.0,MEM,80
Devin Booker  ,0.0,PHO,192
Devin Booker  ,1.0,PHO,148
Devin Booker  ,2.0,PHO,126
Devin Booker  ,3.0,PHO,180
Devin Booker  ,4.0,PHO,60
Devin Vassell  ,0.0,SAS,58
Devin Vassell  ,1.0,SAS,30
Devin Vassell  ,2.0,SAS,58
Devin Vassell  ,3.0,SAS,58
Devin Vassell  ,4.0,SAS,22
Devonte' Graham  ,0.0,NOP,9
Devonte' Graham  ,1.0,NOP,50
Devonte' Graham  ,2.0,NOP,6
Devonte' Graham  ,3.0,NOP,30
Devonte' Graham  ,4.0,NOP,2
Dewayne Dedmon  ,0.0,MIA,18
Dewayne Dedmon  ,1.0,MIA,3
Dewayne Dedmon  ,2.0,MIA,38
Dewayne Dedmon  ,3.0,MIA,32
Dewayne Dedmon  ,4.0,MIA,17
Dillon Brooks  ,1.0,MEM,33
Dillon Brooks  ,2.0,MEM,59
Dillon Brooks  ,3.0,MEM,55
Dillon Brooks  ,4.0,MEM,11
Domantas Sabonis  ,0.0,SAC,75
Domantas Sabonis  ,1.0,SAC,56
Domantas Sabonis  ,2.0,SAC,96
Domantas Sabonis  ,3.0,SAC,147
Domantas Sabonis  ,4.0,SAC,30
Dominick Barlow  ,2.0,SAS,4
Donovan Mitchell  ,0.0,CLE,104
Donovan Mitchell  ,1.0,CLE,105
Donovan Mitchell  ,2.0,CLE,57
Donovan Mitchell  ,3.0,CLE,117
Donte DiVincenzo  ,0.0,GSW,10
Donte DiVincenzo  ,3.0,GSW,12
Donte DiVincenzo  ,4.0,GSW,5
Dorian Finney-Smith  ,0.0,DAL,20
Dorian Finney-Smith  ,1.0,DAL,48
Dorian Finney-Smith  ,2.0,DAL,15
Dorian Finney-Smith  ,3.0,DAL,42
Dorian Finney-Smith  ,4.0,DAL,26
Doug McDermott  ,0.0,SAS,34
Doug McDermott  ,1.0,SAS,54
Doug McDermott  ,2.0,SAS,15
Doug McDermott  ,3.0,SAS,26
Doug McDermott  ,4.0,SAS,3
Draymond Green  ,0.0,GSW,48
Draymond Green  ,1.0,GSW,70
Draymond Green  ,2.0,GSW,35
Draymond Green  ,3.0,GSW,54
Draymond Green  ,4.0,GSW,12
Drew Eubanks  ,0.0,POR,19
Drew Eubanks  ,1.0,POR,21
Drew Eubanks  ,2.0,POR,24
Drew Eubanks  ,3.0,POR,52
Drew Eubanks  ,4.0,POR,17
Dru Smith  ,1.0,MIA,2
Duncan Robinson  ,0.0,MIA,24
Duncan Robinson  ,1.0,MIA,20
Duncan Robinson  ,2.0,MIA,24
Duncan Robinson  ,3.0,MIA,24
Duncan Robinson  ,4.0,MIA,6
Dwight Powell  ,0.0,DAL,0
Dwight Powell  ,1.0,DAL,22
Dwight Powell  ,2.0,DAL,23
Dwight Powell  ,3.0,DAL,36
Dwight Powell  ,4.0,DAL,7
Dyson Daniels  ,0.0,NOP,1
Dyson Daniels  ,1.0,NOP,19
Dyson Daniels  ,2.0,NOP,14
Dyson Daniels  ,3.0,NOP,2
Dyson Daniels  ,4.0,NOP,12
Edmond Sumner  ,0.0,BRK,4
Edmond Sumner  ,1.0,BRK,14
Edmond Sumner  ,2.0,BRK,31
Edmond Sumner  ,3.0,BRK,50
Edmond Sumner  ,4.0,BRK,17
Eric Gordon  ,0.0,HOU,25
Eric Gordon  ,1.0,HOU,51
Eric Gordon  ,2.0,HOU,26
Eric Gordon  ,3.0,HOU,50
Eric Gordon  ,4.0,HOU,1
Eugene Omoruyi  ,0.0,OKC,40
Eugene Omoruyi  ,1.0,OKC,0
